pid,Edad,Genero,idc1,idc2,idc3,idc4,idc5,idc6,idc7,idc8,idc9
7035,24,2,5,5,6,3,3,3,7,4,4
7034,18,2,4,6,6,6,3,1,6,4,4
7033,18,2,7,6,7,5,5,5,6,6,6
7052,26,2,4,4,4,4,4,4,4,4,4
7053,18,1,5,5,5,5,5,4,4,4,4
7054,20,2,5,5,5,5,5,4,4,4,4
7055,37,2,5,5,6,6,6,4,4,4,5
7056,35,2,5,5,5,5,5,5,5,5,5
7178,41,1,6,6,6,6,6,6,6,6,6
7179,21,2,6,5,4,5,5,6,5,6,5
7180,27,1,6,6,6,6,6,6,6,6,5
7181,30,1,5,5,5,5,4,4,5,5,5
7036,32,1,5,7,7,5,5,5,6,5,5
7074,34,2,6,6,7,7,5,5,6,6,6
7078,26,2,7,7,7,7,7,4,6,7,6
7166,34,1,7,7,7,7,7,5,7,6,6
7047,22,1,5,5,5,4,4,5,4,5,5
7048,56,2,5,5,4,4,3,4,5,4,4
7163,36,2,6,6,7,6,5,3,5,6,5
7164,53,2,6,6,7,6,6,3,7,6,6
7161,31,1,7,7,7,7,7,4,7,7,4
7079,36,2,7,7,7,7,7,7,7,7,7
7075,43,1,6,6,7,7,7,5,6,6,6
7081,43,1,7,7,7,7,6,6,6,6,6
7077,28,1,7,7,7,7,7,7,7,7,7
7076,40,2,7,7,7,6,6,7,7,7,7
7082,40,1,7,7,7,7,7,7,7,7,7
7162,29,1,7,7,7,7,7,7,7,7,7
7085,60,2,6,6,6,6,6,6,5,6,5
7083,39,1,2,7,7,1,3,1,7,5,1
7084,36,1,1,4,2,1,4,1,4,1,1
7086,25,1,3,7,7,5,5,1,1,4,4
7080,37,1,2,2,2,2,2,2,2,2,2
7165,36,1,7,7,7,7,7,7,7,7,7
8045,27,2,5,5,5,5,5,2,6,4,2
8110,24,2,6,6,6,6,6,6,6,6,6
8039,22,2,6,6,6,5,6,5,6,6,6
8026,23,1,7,5,7,5,5,1,5,7,4
8120,22,1,2,3,4,4,4,1,4,4,4
8114,20,2,5,5,6,5,5,4,6,6,4
8069,23,1,6,6,6,6,6,6,6,6,5
8143,22,1,3,3,3,3,5,1,4,3,2
8005,22,1,6,4,6,5,5,2,5,5,5
8020,21,1,6,6,7,6,5,5,5,6,6
8038,20,1,4,4,7,4,4,4,4,4,4
8058,22,1,5,5,5,4,4,4,4,4,4
8067,22,1,7,6,7,5,5,5,6,7,7
8033,22,1,4,7,7,4,4,1,4,4,4
8102,22,1,4,3,6,5,4,1,5,4,3
8071,30,1,7,7,7,4,4,4,7,4,4
8146,28,1,4,4,5,4,4,4,4,4,4
8139,19,1,5,4,7,5,5,1,7,5,1
8077,37,1,6,6,6,6,6,5,6,6,6
8076,28,2,4,3,5,3,2,2,6,5,2
8073,31,2,4,4,4,4,4,3,5,4,4
8072,57,1,7,7,7,7,7,7,7,7,6
8068,20,2,7,7,7,7,7,7,7,7,4
8075,21,1,6,6,6,6,6,4,6,6,3
8140,22,2,5,5,6,5,5,4,5,5,4
8145,64,1,7,7,7,7,7,7,7,7,7
8144,60,2,7,7,7,7,7,7,7,7,7
8149,50,2,6,7,7,6,6,6,7,7,5
8150,49,2,6,7,7,7,7,7,7,7,7
8141,59,1,7,6,7,6,6,5,6,6,6
8142,58,2,6,6,7,6,5,5,5,5,4
8006,22,2,6,6,7,5,5,2,5,5,2
8131,23,1,5,4,5,4,3,2,3,4,4
8130,63,1,6,6,6,6,4,4,6,6,4
8129,21,2,6,6,6,4,4,4,4,5,4
8059,54,2,5,4,6,6,4,4,5,4,4
8070,24,1,5,5,6,5,5,5,5,6,6
8133,31,1,6,4,6,6,4,4,6,6,4
8128,18,1,6,4,6,4,3,2,6,5,3
8037,51,2,7,7,7,6,6,6,6,6,1
8065,23,2,1,4,1,1,5,1,5,1,1
8053,57,2,6,5,6,6,5,4,5,5,4
8051,29,2,4,4,5,4,5,4,6,4,4
8064,22,2,6,6,6,6,4,4,6,6,4
8148,22,1,7,5,7,6,6,4,5,6,4
8081,38,1,6,7,7,6,6,5,6,6,6
8116,49,2,6,4,6,4,4,4,5,4,5
8105,22,1,6,6,7,6,6,5,6,5,5
8104,22,1,7,5,6,6,5,5,5,6,7
8138,20,1,6,5,6,5,4,4,5,5,4
8063,22,2,6,4,4,4,4,4,4,4,4
8134,21,1,7,6,7,7,6,6,7,7,6
8066,22,1,7,7,7,7,7,4,5,7,7
8137,42,1,7,7,7,6,6,6,6,6,6
8136,18,2,4,5,4,4,5,3,6,2,2
8057,24,1,6,4,7,6,4,5,5,5,4
8062,27,1,4,4,5,4,4,3,4,4,3
8125,22,2,6,6,6,6,6,6,6,6,6
8126,22,1,5,6,6,6,6,6,6,6,5
8055,22,1,6,6,6,6,6,6,6,6,6
8056,55,2,5,6,5,5,6,4,5,4,5
8060,21,1,6,6,6,6,6,6,6,6,4
8099,26,1,6,6,5,5,5,5,5,5,5
8111,59,2,4,4,3,4,4,4,3,3,3
8035,56,1,5,6,5,5,5,5,5,5,5
8017,46,2,7,7,7,7,7,7,7,7,7
8086,53,1,5,5,7,6,4,4,3,4,4
8034,36,1,5,5,3,4,5,4,4,4,4
8028,19,2,4,4,7,1,3,1,1,3,3
8078,20,1,4,6,7,7,7,4,7,7,4
8013,19,1,7,6,6,7,6,7,7,7,7
8012,19,2,4,5,6,6,5,4,5,5,5
8096,22,2,3,5,3,3,5,2,5,4,3
8003,53,2,7,7,7,7,6,3,5,6,4
8123,24,2,2,4,5,2,1,2,4,2,2
8103,53,2,7,7,7,7,7,6,6,6,6
8107,19,2,5,7,6,5,6,2,7,5,2
8106,19,1,5,6,6,5,5,4,5,5,2
8090,51,2,6,7,7,6,6,6,7,6,6
8030,25,1,6,7,7,6,6,5,6,6,6
8029,26,1,5,7,7,6,5,5,6,6,2
8025,56,2,6,6,6,6,5,3,5,6,4
8101,18,1,4,3,7,2,2,3,6,4,4
8008,19,2,6,5,7,5,6,3,6,5,5
8061,23,2,4,5,5,4,5,5,4,4,4
8021,21,2,6,6,7,7,5,6,6,6,6
8109,21,1,4,7,7,4,4,1,7,5,5
8082,40,1,6,6,6,5,6,5,5,6,4
8089,24,1,5,5,7,5,5,5,5,5,5
8002,20,2,4,4,5,3,4,2,4,4,4
8024,19,2,6,7,7,6,7,5,5,6,4
8010,26,2,5,3,6,5,5,5,5,5,3
8016,23,2,4,7,7,1,4,1,7,4,4
8088,19,2,5,5,7,5,6,5,6,5,1
8009,19,2,5,5,5,5,5,5,4,4,3
8004,61,1,6,6,7,6,6,5,6,6,6
8112,28,2,7,7,7,7,7,7,7,7,7
8041,34,1,5,4,4,5,4,4,4,5,5
8092,22,1,5,5,4,4,4,5,5,5,4
8018,24,1,6,5,6,5,5,5,5,5,4
8032,24,1,4,5,5,5,5,4,5,4,4
8084,19,2,6,6,7,7,7,6,6,6,6
8117,19,2,6,7,7,6,6,6,6,6,7
8019,19,2,5,5,6,4,5,5,6,5,4
8027,19,1,7,7,7,5,5,3,5,5,6
8044,53,1,7,7,7,7,7,6,7,7,7
8119,22,1,5,6,7,5,2,2,6,6,5
8085,21,2,6,5,6,6,5,4,5,6,4
8118,52,2,7,7,7,7,7,7,7,7,7
8098,21,2,5,6,7,5,5,3,7,5,4
8097,24,1,5,6,7,6,5,5,6,5,4
8108,22,1,7,4,7,7,4,1,3,7,7
8091,23,2,5,5,7,5,3,4,5,5,3
8079,69,2,7,7,7,7,5,7,7,7,7
8095,52,2,5,5,6,6,4,5,5,5,5
8040,23,2,6,5,7,5,5,4,6,5,4
8124,19,2,7,7,7,7,6,6,7,7,1
8094,20,1,7,5,7,4,4,2,7,7,4
8121,20,2,7,5,7,5,5,2,6,6,5
8031,21,1,7,7,7,5,5,5,7,7,5
