pid,age,sex,idm1,idm2,idm3,idm4,idm5,idm6,idm7,idm8,idm9
2055,40,1,4,3,5,4,3,3,3,4,4
2056,22,1,5,5,5,5,5,5,5,5,5
2057,22,1,4,4,4,3,4,3,3,3,4
2058,18,1,5,5,5,5,5,5,5,5, 
2059,19,0,4,3,4,4,2,1,3,3,2
2060,19,1,5,5,5,5,4,5,4,5,5
2061,20,1,5,5,5,4,4,2,3,4,4
2062,27,0,5,4,5,5,5,4,4,4,5
2063,21,0,3,5,3,4,3,3,4,4,3
2064,20,0,4,4,4,4,3,3,4,4,3
2066,20,1,4,4,4,3,3,3,1,1,1
2067,18,0,5,5,5,4,4,3,3,4, 
2068,37,1,5,3,5,4,3,2,4,5, 
2069,24,1,5,5,5,5,5,5,5,5,5
2070,23,1,5,4,5,5,5,3,4,4,5
2071,24,1, , , , , , , , , 
2072,23,1,4,4,4,4,4,3,3,3,1
2073,21,1,5,5,5,5,5,5,5,5,5
2074,30,0,5,5,5,5,5,5,5,5,3
2100,54,0,5,5,5,5,5,5,5,5, 
2101,48,1,5,5,5,5,5,5,5,5,5
2102,45,0,4,5,4,5,5,4,5,5,4
2103,51,0,4,4,4,4,4,3,4,4,3
2104,48,0,5,5,5,5,5,5,5,5,5
2105,31,0,5,5,5,5,5,3,3,4,3
2106,33,0,5,5,5,5,5,5,5,5,4
2107,40,0,5,5,5,5,5,5,5,5,5
2108,29,1,5,5,5,5,4,3,5,5,5
2109,47,1,5,5,5,5,5,5,5,5,5
2110,33,1,5,5,5,5,5,5,5,5,5
2111,49,1,5,5,5,5,5,5,5,5,5
2112,51,0,4,4,4,4,4,2,4,4,3
2113,35,1,5,4,5,5,4,4,4,5,4
2114,44,0,3,4,4,4,4,3,4,4,3
2115,43,1,4,4,4,4,4,4,3,4,3
2121,30,0,5,4,5,4,4,3,4,5, 
2123,39,1,5,5,5,5,5,5,5,5,5
2125,22,0,5,5,5,5,5,5,5,5,5
2126,57,1,5,5,5,5,5,5,5,5,5
2127,47,1,5,5,5,5,5,5,5,5,5
2129,44,0,5,5,5,5,5,5,5,5,5
2130,44,0,5,5,5,5,5,5,5,5,5
2131,45,1,3,4,4,4,4,4,4,4, 
2132,47,0,5,5,5,5,5,5,5,5,5
2133,57,0,5,5,5,5,5,5,4,5, 
2134,24,0,4,5,5,5,3,3,4,4,3
2135,36,1,5,5,5,5,4,4,4,5, 
2136,26,0,5,4,5,4,4,4,4,4,4
2137,25,1,5,4,5,4,4,4,4,4,4
2141,56,0,5,5,5,5,4,3,3,5,3
2143,63,0,4,5,5,5,4,4,5,5, 
2144,68,0,4,3,4,4,4,4,4,4,4
2145,29,1,5,5,5,5,4,4,4,4,4
2152,46,0,5,5,5,5,5,5,5,5,5
2153,55,0,5,5,5,5,5,5,5,5,5
2155,31,0,5,5,5,5,5,5,5,5,5
2156,57,0,4,4,4,4,4,4,4,4,4
2158,29,0,5,5,5,5,5,5,5,5,5
2159,51,0,5,5,5,5,5,1,5,5,3
2160,54,1,5,5,5,5,5,5,5,5,5
2161,52,0,5,5,5,5,5,4,4,5,5
2165,62,1,4,5,5,5,5,5,5,5,4
2166,57,0,5,5,5,5,5,5,5,5,5
2170,32,0,5,5,5,5,4,4,3,4,4
2172,36,1,4,5,4,4,3,3,4,4,3
2173,41,0,4,4,5,5,5,4,5,5,5
2173,56,0,3,5,3,4,5,3,4,4,3
2174,36,1,1,5,5,5,5,3,5,5, 
2175,43,1,5,5,5,5,5,5,5,5,5
2176,51,0,5,5,5,5,5,5,5,5,5
2177,46,1,5,5,5,5,5,5,5,5,5
2178,44,0,5,5,5,5,5,5,5,5,5
2179,43,1,5,5,5,5,5,5,5,5,5
2180,18,1,5,5,5,5,5,3,3,5,3
2181,32,1,5,5,5,5,5,4,4,5,4
2182,32,1,5,5,5,5,5,4,4,5,4
2183,24,1,5,5,5,5,5,4,5,5,5
2184,55,1,5,5,5,5,5,5,5,5, 
2185,25,0,4,4,4,4,4,4,4,4,3
2186,55,0,5,5,5,5,5,5,5,5,5
2187,27,0,5,4,5,5,3,1,3,4,1
2188,52,0,5,3,5,5,5,5,5,5,5
2189,24,1,5,4,5,5,4,4,3,4,4
2190,39,0,5,5,5,5,5,5,5,5,5
2191,21,1,4,4,4,4,3,3,4,4,3
2192,26,0,3,4, ,2,3,2,4,4,1
2193,34,1,5,5,5,4,5,3,4,4,5
2194,56,1,5,5,5,5,5,5,5,5,5
2195,48,0,5,5,5,5,5,4,4,5,5
2196,32,0,5,5,5,5,5,4,5,5, 
2197,25,0,5,5,5,5,5,5,5,5,5
2198,28,0,5,5,5,5,1,1,5,5,1
2199,27,1,5,5,5,5,5,5,5,5,5
2200,23,0,5,5,5,5,3,3,4,5,5
2201,30,1,5,5,5,5,5,4,5,5,5
2202,33,1,5,5,5,5,5,5,5,5,5
2203,50,0,5,5,5,5,5,3,5,5,5
2204,71,0,5,5,5,5,4,4,5,5,4
2205,61,1,5,5,5,5,5,5,5,5, 
2220,56,0,5,5,5,5,5,5,5,5,5
2221,54,0,5,5,5,5,5,5,3,5,5
2222,22,1,4,4,2,3,2,3,3,3,3
2223,58,0,5,5,5,5,5,4,4,5,1
2224,65,0,5,5,5,5,5,5,5,5,5
2225,44,0,5,4,5,4,4,4,4,4,4
2226,38,0,5,3,5,5,4,3,4,4,5
2226,63,0,4,4,5,5,5,5,5,5,5
2227,44,0,5,5,5,5,5,5,5,5,5
2227,56,0,5,5,5,5,5,5,5,5,5
2228,43,1,4,4,5,5,3,4,5,4,4
2228,53,1,4,4,4,4,4,3,4,4,4
2229,28,1,5,5,5,5,5,1,4,4,1
2230,30,0,3,3,4,4,3,4,4,4,3
2231,50,0,5,5,5,5,4,4,4,4,4
2232,36,1,5,5,5,5,5,4,4,5,3
2256,54,1,5,5,5,5,5,5,5,5,5
2257,51,1,5,5,5,5,5,4,5,5,5
2258,59,0,5,5,5,5,5,5,5,5,5
2259,17,0,4,5,4,5,2,4,5,3,3
2260,27,1,5,5,5,5,5,5,5,5,5
2261,80,1,5,5,5,4,5,4,4,5,5
2264,19,1,5,5,5,5,5,3,3,5,5
2265,48,1,5,5,5,5,4,4,5,5,5
2278,20,1,5,5,5,4,5,4,5,5,4
2279,23,0,5,4,5,4,3,4,4,4,3
2280,24,1,5,5,5,5,5,5,4,4,5
2281,26,1,5,3,5,5,5,1,3,5, 
2282,52,0,5,4,5,5,4,5,5,5,5
2283,54,0,5,5,5,5,5,5,5,5,3
2284,27,0,5,4,5,5,5,1,3,5, 
2285,55,1,5,3,5,4,3,1,3,3,3
2286,50,1,5,5,5,5,5,5,5,5,5
2287,55,0,5,5,5,5,5,5,5,5,5
2288,24,0,5,5,5,5,5,5,5,5,5
2289,32,0,5,5,5,5,5,5,5,5,5
2290,41,0,5,5,5,5,5,4,5,5,5
2291,40,0,5,5,5,5,5,5,5,5,5
2292,24,0,5,4,5,5,3,3,4,5,5
2293,25,0,5,5,5,5,5,3,5,5,4
2294,54,0,5,4,5,3,4,3,4,4,5
2295,43, ,5,5,5,5,5,5,5,5,5
2296,32,0,5,5,5,4,5,4,5,5,4
2297,63,1,5,5,5,5,5,3,5,5,5
2298,23,1,5,5,5,5,5,5,5,5,5
2299,67,1,5,5,5,5,4,4,4,5, 
2300,44,0,5,5,5,5,5,5,5,5,5
2301,21,1,5,5,5,5,5,5,5,5,5
2302,21,1,4,4,4,3,3,1,3,4,4
2303,45,1,5,5,5,5,5,5,5,5,5
2305,22,0,5,5,5,4,5,3,5,5, 
2306,32,0,4,3,3,4,3,3,4,4,4
2307,19,0, ,3, ,2,2,2,3,2,2
2308,22,1,4,4,5,4,5,4,5,4,3
2309,30,1,5,5,5,5,5,5,5,5, 
2312,54,0,4,4,5,5,5,3,4,4,5
2313,31,1,3,4,3,3,4,3,4,3,3
2314,28,0,4,4,5,5,5,3,4,5,5
2315,50,1,5,4,5,5,5,3,3,5,5
2316,50,1,4,4,4,4,4,4,4,4,4
2317,24,1,5,4,5,5,5,4,5,5,4
2318,33,0,5,5,5,5,4,4,5,5,4
2319,19,1,5,5,5,5,5,4,5,5,4
2320,49,1,3,5,3,5,5,4,5,5,3
